place_id,place_name,lat,lng,num_of_rack,datetime_start,datetime_end
102,Szilágyi Dezső tér,47.5034243929,19.0397143364,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
103,Clark Ádám tér,47.4975859462,19.040915966,15.5,2015-01-01 00:00:01,2015-05-31 23:55:03
104,Döbrentei tér,47.4912792595,19.0451163054,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
105,Déli pályaudvar,47.4998583425,19.0254878998,28.0,2015-01-01 00:00:01,2015-05-31 23:55:03
201,Margit híd -  Buda,47.5150015146,19.0398055315,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
202,Horvát utca,47.5103745958,19.034371376,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
203,Bem József tér,47.5121971505,19.0382552147,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
204,Széna tér,47.50785625,19.0270650387,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
501,Szent István körút - Vígszínház,47.5118927918,19.0514194965,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
502,Szalay utca - Falk Miksa utca,47.5085845898,19.0482115746,14.0,2015-01-01 00:00:01,2015-05-31 23:55:03
503,Bajcsy-Zsilinszky út - Kálmán Imre utca,47.5069430934,19.0548527241,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
504,Vécsey utca,47.5054211304,19.0487104654,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
505,Podmaniczky tér,47.5032540687,19.0542519093,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
506,Szabadság tér,47.5028952991,19.0514302254,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
507,Akadémia,47.5007607501,19.0472406149,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
508,Erzsébet tér,47.499100888,19.0544986725,16.0,2015-01-01 00:00:01,2015-05-31 23:55:03
509,Apáczai Csere János utca,47.4974880896,19.0480130911,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
510,József nádor tér,47.4977309186,19.0502661467,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
511,Vigadó tér,47.495987599,19.0488177538,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
512,Vitkovics Mihály utca - Városház utca,47.4946682916,19.0561294556,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
513,Március 15. tér,47.4916526074,19.0529698133,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
